id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote_usd_price,quote_usd_volume_24h,quote_usd_volume_change_24h,quote_usd_percent_change_1h,quote_usd_percent_change_24h,quote_usd_percent_change_7d,quote_usd_percent_change_30d,quote_usd_percent_change_60d,quote_usd_percent_change_90d,quote_usd_market_cap,quote_usd_market_cap_dominance,quote_usd_fully_diluted_market_cap,quote_usd_tvl,quote_usd_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
1437,Zcash,ZEC,zcash,258,2016-10-29T00:00:00Z,21000000,14799893.75,14799893.75,52,2022-07-12T00:19:00Z,55.12855197,66119612.67,7.1797,-1.15503469,-7.35687338,-5.34408971,-31.42790953,-36.46583731,-62.59545595,815896711.8,0.0918,1157699591,,2022-07-12T00:19:00Z,,,,,
16086,BitTorrent-New,BTT,bittorrent-new,76,2019-01-31T00:00:00Z,,9.35E+14,9.90E+14,53,2022-07-12T00:19:00Z,0.000000863,47839640.53,8.6445,-0.49982426,-3.94288076,-1.09216326,-9.63530773,-16.52952093,-52.96056748,807225830,0.0908,854908457.2,,2022-07-12T00:19:00Z,1958,TRON,TRX,tron,TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4
5068,Neutrino USD,USDN,neutrino-usd,59,2020-01-30T00:00:00Z,,757808853.3,757809457.3,54,2022-07-12T00:19:00Z,0.987847356,3047824.485,43.1307,0.04945289,-0.30060067,-0.10902457,0.17930593,11.06551437,1.33935541,748599471.9,0.0842,748600068.6,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x674C6Ad92Fd080e4004b2312b45f796a192D27a0
1720,IOTA,MIOTA,iota,77,2017-06-13T00:00:00Z,2779530283,2779530283,2779530283,55,2022-07-12T00:19:00Z,0.266489028,16915335.99,-53.8736,0.4041512,-9.48716926,-4.81209508,-11.72930634,-8.87470078,-59.94412722,740714322.4,0.0833,740714322.4,,2022-07-12T00:19:00Z,,,,,
10791,eCash,XEC,ecash,51,2021-07-08T00:00:00Z,2.10E+13,1.91E+13,1.89E+13,56,2022-07-12T00:20:00Z,0.0000384,10515642.58,77.3311,0.53423298,-5.1581677,-3.09649927,-16.19473843,15.75129553,-58.08780618,734226923.4,0.0826,806768168.1,,2022-07-12T00:20:00Z,,,,,
3897,OKB,OKB,okb,68,2019-04-30T00:00:00Z,,60000000,300000000,57,2022-07-12T00:19:00Z,12.14382254,7566475.991,32.8196,-0.67178837,-4.113445,-4.75272487,4.74642442,2.27113446,-35.58722056,728629352.5,0.0819,3643146763,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c
19891,USDD,USDD,usdd,68,2022-05-02T08:07:12Z,,723321764.6,723321764.6,58,2022-07-12T00:19:00Z,0.995469995,87068646,1.2416,-0.02461515,-0.03164245,0.39487187,-0.4030447,-0.02768056,-0.16472774,720045113.5,0.081,720045113.5,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6
2502,Huobi Token,HT,huobi-token,110,2018-02-03T00:00:00Z,500000000,154409022.3,500000000,59,2022-07-12T00:20:00Z,4.319919299,26058714.37,17.8893,-0.13125493,-1.58408699,-7.29891547,-38.16968984,-38.51887921,-53.56458381,667034515.2,0.075,2159959649,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x6f259637dcd74c767781e37bc6133cd6a68aa161
4157,THORChain,RUNE,thorchain,97,2019-07-23T00:00:00Z,500000000,330688061.3,334937974.9,60,2022-07-12T00:20:00Z,2.015473012,95961070.06,-7.4257,0.92897145,-10.54406586,-8.13528563,-18.97742334,-31.13518463,-74.18787422,666492863,0.075,1007736506,136149486.9,2022-07-12T00:20:00Z,1839,BNB,BNB,bnb,RUNE-B1A
4256,Klaytn,KLAY,klaytn,113,2020-03-30T00:00:00Z,,2915886724,10782297981,61,2022-07-12T00:20:00Z,0.221870077,44535490.07,29.0994,-0.19351065,-6.03488719,-6.95514496,-30.34815663,-36.69597333,-77.99761158,646948012.5,0.0728,2392269285,,2022-07-12T00:20:00Z,,,,,
